Book_page,Year,Site,Nest_ID,Species,Observer,Date_found,Jdate_found,Latitude,Longitude,Plot_ID,Plot_limit,Stake,estHatch,estHatch_julian,how_found,ad1_original_band,ad2_original_band,ad1_UL,ad1_LL,ad1_UR,ad1_LR,ad1_eng_flag,ad2_UL,ad2_LL,ad2_UR,ad2_LR,ad2_eng_flag,BandedBirds,ad1_band,ad2_band,Clutch_max,Clutch_found,floatDate,floatAge,lastInfoDate,lastInfo_jDate,fateDate,fateDate_julian,initDate,initDate_julian,incDate,hatchDate,hatchDate_julian,ageMethod,stageFnd,fate,fail_cause,adBlood,NumEggHuman,NumEggColl,NumEggLost,NumEggwithEmbryo,NumEggPred,NumEggAband,NumEggFailToHatch,NumEggAbandUnhat,NumEggUnknown,NumEggHatch,NumChicksSeen,dom_land,dom_veg,conceal,Treatment,Date_treatment,Comments,Plot_limit_corr,Known_renest
4.09,2011,barr,11barrdunl118,dunl,jcunningham,14-Jun-11,165,71.29121,-156.6433,brw2,in,j11,02-Jul-11,183,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,14-Jun-11,3,17-Jun-11,168,21-Jun-11,172,8-Jun-11,159,11-Jun-11,,,float,inc,failed,predation,0,0,0,0,0,4,0,,0,0,0,0,hcp<0.5,u1,20,,,jaeger seen near nest 21 June;  ,in,0
11.43,2011,barr,11barrlbdo172,lbdo,jcunningham,26-Jun-11,177,71.26042,-156.52538,brw5,in,j2,15-Jul-11,196,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,26-Jun-11,2,26-Jun-11,177,30-Jun-11,181,21-Jun-11,172,24-Jun-11,,,float,inc,failed,predation,0,0,0,0,0,4,0,,0,0,0,0,lcp<0.5,m2,10,,,old nest cup lbdo469 2009;  ,in,0
8.41,2011,barr,11barrlbdo250,lbdo,bhill,01-Jul-11,182,71.27144,-156.53174,brw3,in,b5,22-Jul-11,203,bander,,,-,-,-,-,-,-,-,-,-,-,0,,,2,2,3-Jul-11,2,9-Jul-11,190,14-Jul-11,195,30-Jun-11,181,1-Jul-11,,,float,inc,failed,abandoned,0,0,2,0,2,0,2,,2,0,0,0,hcp>0.5,u3,10,,,Assumed 2 egg clutch to calculate initiation dates. Found with 2 eggs; ,in,0
4.45,2011,barr,11barrlbdo447,lbdo,abankert,26-Jun-11,177,71.29272,-156.6535,brw2,in,g4,12-Jul-11,193,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,26-Jun-11,5,1-Jul-11,182,6-Jul-11,187,18-Jun-11,169,21-Jun-11,,,float,inc,failed,predation,0,0,3,0,3,1,3,,3,0,0,0,hcp<0.5,u1,20,,,,in,0
4.61,2011,barr,11barrlbdo470,lbdo,abankert,28-Jun-11,179,71.29236,-156.65706,brw2,in,h2,19-Jul-11,200,rope,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,28-Jun-11,0,3-Jul-11,184,8-Jul-11,189,25-Jun-11,176,28-Jun-11,,,float,inc,failed,predation,0,0,0,0,0,4,0,,0,0,0,0,lcp<0.5,m2,10,,,,in,0
2.01,2011,barr,11barrlbdo483,lbdo,abankert,02-Jul-11,183,71.29976,-156.63812,brw1,in,b8,13-Jul-11,194,rope,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,2-Jul-11,10,7-Jul-11,188,8-Jul-11,189,19-Jun-11,170,22-Jun-11,,,float,inc,failed,abandoned,0,0,4,0,4,0,4,,4,0,0,0,non-patterned,m2,70,,,,in,0
5.27,2011,barr,11barrlbdo808,lbdo,pherzog,16-Jul-11,197,71.29178,-156.65334,brw2,in,i4,,NA,bander,,,-,-,-,-,-,-,-,-,-,-,0,,,1,1,,,16-Jul-11,197,16-Jul-11,197,26-Jun-11,177,,,,float,unknown,unknown,,0,0,1,0,1,0,0,,0,0,0,0,hcp<0.5,u3,70,,,"unknown fate - I think possibly other eggs already hatched & other mate left.; Unknown initiation date, found with 1 egg and never floated.  Abandoned.  Could have hatched prior to finding. Used float data of 1 egg clutch for inititiation date; ; ",in,0
14.15,2011,barr,11barrpesa007,pesa,rlanctot,26-Jun-11,177,71.24406,-156.54248,brw6,in,a10,17-Jul-11,198,bander,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,26-Jun-11,1,6-Jul-11,187,10-Jul-11,191,22-Jun-11,173,25-Jun-11,,,float,inc,failed,predation,0,0,0,0,0,4,0,,0,0,0,0,strangmoor,u4,20,,,,in,0
14.29,2011,barr,11barrpesa008,pesa,rlanctot,27-Jun-11,178,71.2433,-156.5394,brw6,in,c12,07-Jul-11,188,bander,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,27-Jun-11,12,5-Jul-11,186,5-Jul-11,186,10-Jun-11,161,13-Jun-11,5-Jul-11,186,hatch,inc,hatched,,0,0,0,0,0,0,0,,0,0,4,0,hcp>0.5,u2,50,,,"1 chick seen, but loose;  ",in,0
8.19,2011,barr,11barrpesa053,pesa,dkesler,26-Jun-11,177,71.27155,-156.53816,brw3,in,a1,09-Jul-11,190,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,27-Jun-11,10,27-Jun-11,178,2-Jul-11,183,14-Jun-11,165,17-Jun-11,,,float,inc,failed,predation,0,0,0,0,0,4,0,,0,0,0,0,non-patterned,u4,30,,,,in,0
16.21,2011,barr,11barrpesa112,pesa,jcunningham,13-Jun-11,164,71.24751,-156.58156,brw8,in,f4,04-Jul-11,185,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,13-Jun-11,1,5-Jul-11,186,5-Jul-11,186,10-Jun-11,161,13-Jun-11,5-Jul-11,186,hatch,inc,hatched,,0,0,0,0,0,0,0,,0,0,4,4,strangmoor,m1,30,,,,in,0
13.47,2011,barr,11barrpesa122,pesa,jcunningham,16-Jun-11,167,71.24385,-156.54545,brw6,in,b7,07-Jul-11,188,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,16-Jun-11,1,6-Jul-11,187,6-Jul-11,187,11-Jun-11,162,14-Jun-11,6-Jul-11,187,hatch,inc,hatched,,0,0,0,0,0,0,0,,0,0,4,4,hcp<0.5,u3,80,,,,in,0
10.39,2011,barr,11barrpesa137,pesa,jcunningham,19-Jun-11,170,71.26262,-156.52613,brw5,in,e7,07-Jul-11,188,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,19-Jun-11,4,24-Jun-11,175,29-Jun-11,180,12-Jun-11,163,15-Jun-11,,,float,inc,failed,predation,0,0,0,0,0,4,0,,0,0,0,0,hcp>0.5,u3,40,,,,in,0
16.59,2011,barr,11barrpesa140,pesa,jcunningham,20-Jun-11,171,71.24486,-156.57436,brw8,in,l9,06-Jul-11,187,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,20-Jun-11,6,6-Jul-11,187,6-Jul-11,187,11-Jun-11,162,14-Jun-11,6-Jul-11,187,hatch,inc,hatched,,0,0,0,0,0,0,0,,0,0,4,0,lcp<0.5,u3,20,,,,in,0
13.67,2011,barr,11barrpesa145,pesa,jcunningham,20-Jun-11,171,71.2414,-156.54103,brw6,in,g11,04-Jul-11,185,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,20-Jun-11,8,7-Jul-11,188,7-Jul-11,188,12-Jun-11,163,15-Jun-11,7-Jul-11,188,hatch,inc,hatched,,0,0,0,0,0,0,0,,0,0,4,4,mixed hcp/lcp,u2,30,,,,in,0
8.07,2011,barr,11barrpesa173,pesa,jcunningham,26-Jun-11,177,71.2665,-156.53234,brw3,in,l4,14-Jul-11,195,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,26-Jun-11,4,14-Jul-11,195,14-Jul-11,195,19-Jun-11,170,22-Jun-11,14-Jul-11,195,hatch,inc,hatched,,0,0,0,0,0,0,0,,0,0,4,3,non-patterned,m2,30,,,"3 chicks seen, assume 4 hatched;  ",in,0
11.49,2011,barr,11barrpesa180,pesa,jcunningham,26-Jun-11,177,71.26186,-156.52404,brw5,in,g3,14-Jul-11,195,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,26-Jun-11,4,6-Jul-11,187,10-Jul-11,191,19-Jun-11,170,22-Jun-11,,,float,inc,failed,predation,0,0,0,0,0,4,0,,0,0,0,0,mixed hcp/lcp,u4,40,,,,in,0
14.21,2011,barr,11barrpesa181,pesa,jcunningham,27-Jun-11,178,71.24383,-156.55045,brw6,in,b4,04-Jul-11,185,rope,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,27-Jun-11,15,1-Jul-11,182,1-Jul-11,182,6-Jun-11,157,9-Jun-11,1-Jul-11,182,hatch,inc,hatched,,0,0,0,0,0,0,0,,0,0,4,0,non-patterned,u3,40,,,"2 chicks seen, assume 4 hatched;  ",in,0
14.31,2011,barr,11barrpesa184,pesa,jcunningham,28-Jun-11,179,71.24434,-156.54766,brw6,in,a6,15-Jul-11,196,rope,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,28-Jun-11,5,14-Jul-11,195,14-Jul-11,195,19-Jun-11,170,22-Jun-11,14-Jul-11,195,hatch,inc,hatched,,0,0,0,0,0,0,0,,0,0,4,4,mixed hcp/lcp,u3,30,,,,in,0
14.33,2011,barr,11barrpesa185,pesa,jcunningham,28-Jun-11,179,71.23993,-156.54098,brw6,in,k11,04-Jul-11,185,rope,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,28-Jun-11,16,28-Jun-11,179,28-Jun-11,179,9-Jun-11,160,12-Jun-11,,,float,inc,unknown,,0,0,0,0,0,0,0,,0,4,0,0,hcp<0.5,u3,50,,,eggs gone within 4 days of estimated hatch date. No evidence of failure; ; ,in,0
18.41,2011,barr,11barrpesa197,pesa,jcunningham,29-Jun-11,180,71.24592,-156.57485,brw8,in,j9,16-Jul-11,197,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,29-Jun-11,5,15-Jul-11,196,15-Jul-11,196,20-Jun-11,171,23-Jun-11,15-Jul-11,196,hatch,inc,hatched,,0,0,0,0,0,0,0,,0,0,3,3,lcp>0.5,u3,70,,,,in,0
10.27,2011,barr,11barrpesa216,pesa,bhill,16-Jun-11,167,71.262,-156.51196,brw5,in,g12,07-Jul-11,188,bander,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,16-Jun-11,1,6-Jul-11,187,6-Jul-11,187,11-Jun-11,162,14-Jun-11,6-Jul-11,187,hatch,inc,hatched,,0,0,0,0,0,0,0,,0,0,4,4,hcp>0.5,u3,10,,,,out,0
8.27,2011,barr,11barrpesa240,pesa,bhill,27-Jun-11,178,71.26823,-156.53096,brw3,in,i5,15-Jul-11,196,bander,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,27-Jun-11,4,19-Jul-11,200,19-Jul-11,200,24-Jun-11,175,27-Jun-11,19-Jul-11,200,hatch,inc,hatched,,0,0,0,0,0,0,0,,0,0,4,3,hcp<0.5,u3,50,,,"3 chicks seen, assume 4 hatched;  ",in,0
11.59,2011,barr,11barrpesa249,pesa,bhill,30-Jun-11,181,71.26228,-156.52188,brw5,in,f10,14-Jul-11,195,bander,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,30-Jun-11,8,15-Jul-11,196,16-Jul-11,197,19-Jun-11,170,22-Jun-11,,,float,inc,failed,predation,0,0,0,0,0,4,0,,0,0,0,0,hcp<0.5,u3,40,,,Predated by POJA (observed by researcher) on 16 July;  ,in,0
13.41,2011,barr,11barrpesa303,pesa,jzamudio,14-Jun-11,165,71.24138,-156.54076,brw6,in,g11,05-Jul-11,186,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,14-Jun-11,1,2-Jul-11,183,2-Jul-11,183,7-Jun-11,158,10-Jun-11,2-Jul-11,183,hatch,inc,hatched,,0,0,0,0,0,0,0,,0,0,4,4,hcp>0.5,u3,80,,,,in,0
10.49,2011,barr,11barrpesa312,pesa,jzamudio,20-Jun-11,171,71.25959,-156.52709,brw5,in,l1,11-Jul-11,192,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,20-Jun-11,1,11-Jul-11,192,11-Jul-11,192,16-Jun-11,167,19-Jun-11,11-Jul-11,192,hatch,inc,hatched,,0,0,0,0,0,0,0,,0,0,4,3,hcp>0.5,u3,60,,,1 chick stepped on by researcher;  ,in,0
9.21,2011,barr,11barrpesa315,pesa,jzamudio,20-Jun-11,171,71.27023,-156.53231,brw3,in,d5,,NA,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,1,1,,,20-Jun-11,171,24-Jun-11,175,20-Jun-11,171,,,,lay,unknown,failed,predation,0,0,0,0,0,1,0,,0,0,0,0,mixed hcp/lcp,u3,5,,,"found with one egg, not floated; Unknown initiation date; found with 1 egg and never floated. Assumed found during lay; ; ",in,0
7.33,2011,barr,11barrpesa335,pesa,jzamudio,05-Jul-11,186,71.26936,-156.53169,brw3,in,f5,21-Jul-11,202,rope,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,5-Jul-11,6,10-Jul-11,191,15-Jul-11,196,26-Jun-11,177,29-Jun-11,,,float,inc,failed,predation,0,0,0,0,0,4,0,,0,0,0,0,hcp>0.5,u3,80,,,,in,0
13.69,2011,barr,11barrpesa413,pesa,abankert,21-Jun-11,172,71.24117,-156.54645,brw6,in,h7,10-Jul-11,191,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,21-Jun-11,3,12-Jul-11,193,12-Jul-11,193,17-Jun-11,168,20-Jun-11,12-Jul-11,193,hatch,inc,hatched,,0,0,0,0,0,0,0,,0,0,4,4,non-patterned,u2,80,,,,in,0
9.57,2011,barr,11barrpesa427,pesa,abankert,23-Jun-11,174,71.26705,-156.53035,brw3,in,k5,14-Jul-11,195,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,23-Jun-11,1,16-Jul-11,197,16-Jul-11,197,20-Jun-11,171,23-Jun-11,16-Jul-11,197,hatch,inc,hatched,,0,0,0,0,2,0,0,,0,0,2,0,hcp<0.5,u3,10,,,1 chick found dead in nest 18 july;  ,in,0
11.21,2011,barr,11barrpesa437,pesa,abankert,23-Jun-11,174,71.26054,-156.51985,brw5,in,j6,14-Jul-11,195,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,23-Jun-11,1,16-Jul-11,197,16-Jul-11,197,20-Jun-11,171,23-Jun-11,16-Jul-11,197,hatch,inc,hatched,,0,0,0,0,0,0,0,,0,0,4,4,lcp<0.5,m2,40,,,,in,0
17.37,2011,barr,11barrpesa442,pesa,abankert,24-Jun-11,175,71.24644,-156.57574,brw8,in,i8,15-Jul-11,196,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,24-Jun-11,1,17-Jul-11,198,17-Jul-11,198,21-Jun-11,172,24-Jun-11,17-Jul-11,198,hatch,inc,hatched,,0,0,0,0,0,0,0,,0,0,4,4,lcp<0.5,u4,80,,,,in,0
17.43,2011,barr,11barrpesa445,pesa,abankert,24-Jun-11,175,71.24504,-156.5822,brw8,in,l4,10-Jul-11,191,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,24-Jun-11,6,7-Jul-11,188,7-Jul-11,188,12-Jun-11,163,15-Jun-11,7-Jul-11,188,hatch,inc,hatched,,0,0,0,0,0,0,0,,0,0,4,4,hcp>0.5,u3,50,,,,in,0
1.45,2011,barr,11barrpesa450,pesa,abankert,26-Jun-11,177,71.29793,-156.63281,brw1,in,g7,17-Jul-11,198,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,26-Jun-11,1,8-Jul-11,189,12-Jul-11,193,22-Jun-11,173,25-Jun-11,,,float,inc,failed,predation,0,0,0,0,0,4,0,,0,0,0,0,non-patterned,m2,20,,,,in,0
4.47,2011,barr,11barrpesa451,pesa,abankert,26-Jun-11,177,71.29517,-156.64469,brw2,in,a10,17-Jul-11,198,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,26-Jun-11,1,11-Jul-11,192,11-Jul-11,192,22-Jun-11,173,25-Jun-11,,,float,inc,unknown,,0,0,0,0,0,0,0,,0,4,0,0,hcp<0.5,u3,30,,,eggs gone within 4 days of estimated hatch date.  Listed as predated in nest book; ; ,in,0
18.23,2011,barr,11barrpesa461,pesa,abankert,27-Jun-11,178,71.24813,-156.57453,brw8,in,e9,06-Jul-11,187,rope,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,27-Jun-11,13,7-Jul-11,188,7-Jul-11,188,12-Jun-11,163,15-Jun-11,7-Jul-11,188,hatch,inc,hatched,,0,0,0,0,0,0,0,,0,0,4,2,lcp<0.5,u2,20,,,"2 chicks seen, assume 4 hatched;  ",in,0
18.37,2011,barr,11barrpesa467,pesa,abankert,28-Jun-11,179,71.2498,-156.57427,brw8,in,a9,07-Jul-11,188,rope,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,28-Jun-11,13,5-Jul-11,186,5-Jul-11,186,10-Jun-11,161,13-Jun-11,5-Jul-11,186,hatch,inc,hatched,,0,0,0,0,0,0,0,,0,0,4,4,hcp>0.5,u2,90,,,,in,0
12.17,2011,barr,11barrpesa473,pesa,abankert,29-Jun-11,180,71.26228,-156.52652,brw5,in,f7,20-Jul-11,201,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,29-Jun-11,1,12-Jul-11,193,16-Jul-11,197,25-Jun-11,176,28-Jun-11,,,float,inc,failed,observer,0,2,0,0,0,2,0,,0,0,0,0,hcp<0.5,u3,10,,,,in,0
12.19,2011,barr,11barrpesa474,pesa,abankert,29-Jun-11,180,71.26341,-156.52203,brw5,in,d10,18-Jul-11,199,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,29-Jun-11,3,19-Jul-11,200,19-Jul-11,200,24-Jun-11,175,27-Jun-11,19-Jul-11,200,hatch,inc,hatched,,0,0,0,0,0,0,0,,0,0,4,0,hcp<0.5,u2,40,,,"no chicks seen, assume 4 hatched;  ",in,0
8.33,2011,barr,11barrpesa476,pesa,abankert,29-Jun-11,180,71.26965,-156.53233,brw3,in,f5,10-Jul-11,191,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,29-Jun-11,11,9-Jul-11,190,9-Jul-11,190,14-Jun-11,165,17-Jun-11,9-Jul-11,190,hatch,inc,hatched,,0,0,0,0,0,0,0,,0,0,4,0,mixed hcp/lcp,u3,60,,,"in eider exclusion zone, did not band chicks;  ",in,0
8.47,2011,barr,11barrpesa488,pesa,abankert,03-Jul-11,184,71.26717,-156.52305,brw3,in,l11,14-Jul-11,195,rope,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,3-Jul-11,11,18-Jul-11,199,18-Jul-11,199,23-Jun-11,174,26-Jun-11,18-Jul-11,199,hatch,inc,hatched,,0,0,0,0,0,0,0,,0,0,4,4,lcp<0.5,u3,20,,,,in,0
7.41,2011,barr,11barrpesa494,pesa,abankert,06-Jul-11,187,71.268,-156.52786,brw3,in,i7,18-Jul-11,199,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,6-Jul-11,10,17-Jul-11,198,18-Jul-11,199,23-Jun-11,174,26-Jun-11,,,float,inc,failed,observer,0,2,0,0,2,0,2,,2,0,0,0,lcp<0.5,u3,30,,,2 eggs stepped on by researcher; 2 eggs almost fully developed - 1 egg had hole-pip in it when abandoned;  ,in,0
16.13,2011,barr,11barrpesa504,pesa,pherzog,12-Jun-11,163,71.24598,-156.5735,brw8,in,j10,30-Jun-11,181,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,12-Jun-11,4,12-Jun-11,163,17-Jun-11,168,5-Jun-11,156,8-Jun-11,,,float,inc,failed,predation,0,0,0,0,0,4,0,,0,0,0,0,lcp<0.5,u1,10,,,,in,0
13.45,2011,barr,11barrpesa513,pesa,pherzog,15-Jun-11,166,71.24005,-156.54221,brw6,in,j10,01-Jul-11,182,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,15-Jun-11,6,2-Jul-11,183,2-Jul-11,183,7-Jun-11,158,10-Jun-11,2-Jul-11,183,hatch,inc,hatched,,0,0,0,0,0,0,0,,0,0,4,0,lcp<0.5,m2,90,,,"1 chick seen, assume other three hatched;  ",in,0
13.57,2011,barr,11barrpesa519,pesa,pherzog,19-Jun-11,170,71.24103,-156.53966,brw6,in,h12,05-Jul-11,186,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,19-Jun-11,6,5-Jul-11,186,5-Jul-11,186,10-Jun-11,161,13-Jun-11,5-Jul-11,186,hatch,inc,hatched,,0,0,0,0,0,1,0,,0,0,3,0,hcp>0.5,u2,25,,,1 egg pecked by predator 2 July(popsicle stick pulled out also); assume 3 chicks hatched;  ,in,0
16.49,2011,barr,11barrpesa522,pesa,pherzog,19-Jun-11,170,71.24832,-156.57207,brw8,in,d11,08-Jul-11,189,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,19-Jun-11,3,9-Jul-11,190,9-Jul-11,190,14-Jun-11,165,17-Jun-11,9-Jul-11,190,hatch,inc,hatched,,0,0,0,0,0,0,0,,0,0,4,3,hcp<0.5,u3,20,,,assume 4th chick hatch;  ,in,0
11.35,2011,barr,11barrpesa555,pesa,pherzog,25-Jun-11,176,71.26329,-156.52871,brw5,in,d5,15-Jul-11,196,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,26-Jun-11,3,18-Jul-11,199,18-Jul-11,199,22-Jun-11,173,25-Jun-11,18-Jul-11,199,hatch,inc,hatched,,0,0,0,0,0,0,0,,0,0,4,4,hcp<0.5,u3,10,,,,in,0
14.19,2011,barr,11barrpesa557,pesa,pherzog,26-Jun-11,177,71.24116,-156.54393,brw6,in,h9,14-Jul-11,195,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,26-Jun-11,4,6-Jul-11,187,10-Jul-11,191,19-Jun-11,170,22-Jun-11,,,float,inc,failed,predation,0,0,0,0,0,4,0,,0,0,0,0,lcp>0.5,u2,50,,,,in,0
17.55,2011,barr,11barrpesa560,pesa,pherzog,26-Jun-11,177,71.24631,-156.57917,brw8,in,i6,16-Jul-11,197,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,26-Jun-11,2,2-Jul-11,183,7-Jul-11,188,21-Jun-11,172,24-Jun-11,,,float,inc,failed,predation,0,0,0,0,0,4,0,,0,0,0,0,lcp<0.5,u3,10,,,,in,0
17.57,2011,barr,11barrpesa561,pesa,pherzog,26-Jun-11,177,71.24742,-156.57723,brw8,in,f7,15-Jul-11,196,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,26-Jun-11,3,19-Jul-11,200,19-Jul-11,200,23-Jun-11,174,26-Jun-11,19-Jul-11,200,hatch,inc,hatched,,0,0,0,0,0,0,0,,0,0,4,3,hcp>0.5,u2,5,,,,in,0
17.59,2011,barr,11barrpesa562,pesa,pherzog,26-Jun-11,177,71.2469,-156.57714,brw8,in,h7,04-Jul-11,185,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,3,3,26-Jun-11,14,5-Jul-11,186,5-Jul-11,186,11-Jun-11,162,13-Jun-11,5-Jul-11,186,hatch,inc,hatched,,0,0,0,0,0,0,0,,0,0,3,3,lcp<0.5,u3,80,,,,in,0
12.29,2011,barr,11barrpesa571,pesa,pherzog,01-Jul-11,182,71.26118,-156.51991,brw5,in,i6,16-Jul-11,197,rope,,,-,-,-,-,-,-,-,-,-,-,0,,,3,3,1-Jul-11,7,22-Jul-11,203,22-Jul-11,203,28-Jun-11,179,30-Jun-11,22-Jul-11,203,hatch,inc,hatched,,0,0,0,0,0,0,0,,0,0,3,1,lcp<0.5,m2,10,,,"1 chicks seen, assume 3 hatched; broken leg or only 1 leg on adult; old nest cup - cannot read stick;  ",in,0
12.41,2011,barr,11barrpesa577,pesa,pherzog,01-Jul-11,182,71.26183,-156.52666,brw5,in,g1,14-Jul-11,195,rope,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,1-Jul-11,9,1-Jul-11,182,6-Jul-11,187,19-Jun-11,170,22-Jun-11,,,float,inc,failed,predation,0,0,0,0,0,4,0,,0,0,0,0,hcp>0.5,u3,15,,,,in,0
12.61,2011,barr,11barrpesa587,pesa,pherzog,02-Jul-11,183,71.26404,-156.52765,brw5,in,b6,17-Jul-11,198,rope,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,2-Jul-11,7,19-Jul-11,200,19-Jul-11,200,22-Jun-11,173,25-Jun-11,,,float,inc,unknown,,0,0,0,0,0,0,0,,0,4,0,0,mixed hcp/lcp,u3,10,,,"no chicks seen, assume 4 hatched; only evidence is nest flattened and widened pipped days prior; ; ",in,0
6.03,2011,barr,11barrpesa593,pesa,ssaalfeld,02-Jul-11,183,71.26326,-156.52193,brw5,in,d10,19-Jul-11,200,rope,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,3-Jul-11,6,19-Jul-11,200,19-Jul-11,200,24-Jun-11,175,27-Jun-11,19-Jul-11,200,hatch,inc,hatched,,0,0,0,0,0,0,0,,0,0,4,0,hcp<0.5,u2,30,,,"chicks not seen, assume 4 hatched;  ",in,0
7.01,2011,barr,11barrpesa595,pesa,pherzog,03-Jul-11,184,71.26921,-156.53135,brw3,in,g5,13-Jul-11,194,rope,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,3-Jul-11,12,11-Jul-11,192,11-Jul-11,192,18-Jun-11,169,21-Jun-11,,,float,inc,unknown,,0,0,0,0,0,0,0,,0,4,0,0,hcp>0.5,u3,20,,,"no chicks seen, assume 4 hatched; only evidence is nest flattened and widened starred 4 days prior; ; ",in,0
2.11,2011,barr,11barrpesa627,pesa,adoll,05-Jul-11,186,71.29528,-156.62961,brw1,in,l3,22-Jul-11,203,bander,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,5-Jul-11,5,5-Jul-11,186,10-Jul-11,191,27-Jun-11,178,30-Jun-11,,,float,inc,failed,predation,0,0,0,0,0,4,0,,0,0,0,0,strangmoor,u1,40,,,,in,0
7.15,2011,barr,11barrpesa702,pesa,pherzog,03-Jul-11,184,71.27049,-156.53402,brw3,in,d4,20-Jul-11,201,rope,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,3-Jul-11,5,3-Jul-11,184,8-Jul-11,189,25-Jun-11,176,28-Jun-11,,,float,inc,failed,predation,0,0,0,0,0,4,0,,0,0,0,0,mixed hcp/lcp,u3,5,,,,in,0
7.17,2011,barr,11barrpesa703,pesa,jcunningham,03-Jul-11,184,71.26999,-156.53343,brw3,in,e4,22-Jul-11,203,rope,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,3-Jul-11,3,20-Jul-11,201,22-Jul-11,203,27-Jun-11,178,30-Jun-11,,,float,inc,failed,abandoned,0,0,0,0,4,0,4,,4,0,0,0,lcp<0.5,u3,20,,,,in,0
7.37,2011,barr,11barrpesa802,pesa,pherzog,05-Jul-11,186,71.2719,-156.53022,brw3,in,a7,16-Jul-11,197,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,1,1,5-Jul-11,11,24-Jul-11,205,24-Jul-11,205,2-Jul-11,183,2-Jul-11,24-Jul-11,205,hatch,inc,hatched,,0,0,0,0,0,0,0,,0,0,1,1,hcp<0.5,u3,40,,,Assumed 1 egg clutch to calculate initiation dates. Found with 1 egg; ,in,0
6.09,2011,barr,11barrpesa804,pesa,pherzog,05-Jul-11,186,71.26438,-156.52134,brw5,in,b11,15-Jul-11,196,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,5-Jul-11,12,16-Jul-11,197,16-Jul-11,197,21-Jun-11,172,24-Jun-11,16-Jul-11,197,hatch,inc,hatched,,0,0,0,0,0,0,0,,0,0,4,3,hcp<0.5,u3,40,,,4 chicks seen out of nest;  ,in,0
