id,Order,Suborder,Family,Species,Phylogenetic.taxon,Guild,Plant.species,Date
238,Diptera,Brachycera,Syrphidae,tenax,Eristalis_tenax,pollinator,Arenaria tetraquetra subsp amabilis,20150716
239,Diptera,Nematocera,Sciaridae,sp,Sciaridae,scavenger,Arenaria tetraquetra subsp amabilis,20150716
240,Diptera,Nematocera,Sciaridae,sp,Sciaridae,scavenger,Crepis oporinoides,20150715
241,Hymenoptera,Aculeata,Megachilidae,parietina,Megachile,pollinator,Lotus corniculatus subsp glacialis,20150724
242,Hymenoptera,Aculeata,Pompilidae,spC,Pompilidae,predator,Hormathophylla spinosa,20150706
243,Hymenoptera,Aculeata,Megachilidae,sp,Osmia,pollinator,Chaenorhinum glareosum,20150714
244,Lepidoptera,Glossata,Scythrididae,iberica,Scythris,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150715
245,Hymenoptera,Aculeata,Andrenidae,ovatula,Andrena,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150714
246,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150707
247,Hymenoptera,Aculeata,Megachilidae,sp,Megachile,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150707
248,Hemiptera,Heteroptera,Lygaeidae,pandurus,Spilostethus_pandurus,herbivore,Jasione amethystina,20150708
249,Diptera,Brachycera,Syrphidae,albomaculata,Scaeva_albomaculata,pollinator,Hormathophylla spinosa,20150714
250,Hymenoptera,Aculeata,Vespidae,biglumis,Polistes_biglumis,predator,Arenaria tetraquetra subsp amabilis,20150707
251,Hymenoptera,Aculeata,Halictidae,cupromicans,Lasioglossum,pollinator,Arenaria tetraquetra subsp amabilis,20150707
252,Hymenoptera,Aculeata,Apidae,terrestris lusitanicus,Bombus_terrestris,pollinator,Arenaria tetraquetra subsp amabilis,20150711
253,Diptera,Brachycera,Tachinidae,capitata,Gonia_capitata,parasitoid,Arenaria tetraquetra subsp amabilis,20150711
254,Coleoptera,Polyphaga,Malachiidae,spA,Malachiinae,predator,Hormathophylla spinosa,20150723
255,Hymenoptera,Aculeata,Vespidae,scoticus,Ancistrocerus,predator,Arenaria tetraquetra subsp amabilis,20150710
256,Coleoptera,Polyphaga,Chrysomelidae,sp,Labidostomis,herbivore,Arenaria tetraquetra subsp amabilis,20150710
257,Hymenoptera,Aculeata,Megachilidae,mitis granadae,Hoplitis_mitis,pollinator,Jasione amethystina,20150711
258,Hymenoptera,Aculeata,Halictidae,cupromicans,Lasioglossum,pollinator,Jasione amethystina,20150711
259,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150707
260,Diptera,Brachycera,Therevidae,sp,Therevidae,pollinator,Hormathophylla spinosa,20150710
261,Diptera,Brachycera,Syrphidae,tenax,Eristalis_tenax,pollinator,Arenaria tetraquetra subsp amabilis,20150724
262,Hymenoptera,Parasitica,Ichneumonidae,forticornis,Gelis,parasitoid,Arenaria tetraquetra subsp amabilis,20150719
263,Hymenoptera,Aculeata,Megachilidae,parietina,Megachile,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150706
264,Hymenoptera,Parasitica,Ichneumonidae,fossae,Gelis,parasitoid,Chaenorhinum glareosum,20150707
265,Hymenoptera,Parasitica,Eurytomidae,sp,Bruchophagus,herbivore,Anthyllis vulneraria subsp pseudoarundana,20150719
266,Lepidoptera,Glossata,Scythrididae,iberica,Scythris,pollinator,Arenaria tetraquetra subsp amabilis,20150709
267,Hymenoptera,Parasitica,Ichneumonidae,fossae,Gelis,parasitoid,Hormathophylla spinosa,20150711
268,Hymenoptera,Aculeata,Megachilidae,parietina,Megachile,pollinator,Lotus corniculatus subsp glacialis,20150715
269,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150714
270,Diptera,Brachycera,Lonchaeidae,sp,Lonchaeidae,herbivore,Arenaria tetraquetra subsp amabilis,20150723
271,Hymenoptera,Parasitica,Braconidae,spB,Chelonus,parasitoid,Arenaria tetraquetra subsp amabilis,20150723
272,Hymenoptera,Aculeata,Andrenidae,cephalotes,Panurgus_cephalotes,pollinator,Leontodon boryi,20150723
273,Hymenoptera,Aculeata,Megachilidae,montanum,Anthidium_montanum,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150716
274,Diptera,Brachycera,Syrphidae,albomaculata,Scaeva_albomaculata,pollinator,Leucanthemopsis pectinata,20150723
275,Lepidoptera,Rhopalocera,Lycaenidae,boeticus,Lampides_boeticus,pollinator,Sideritis glacialis,20150724
276,Lepidoptera,Rhopalocera,Pieridae,rapae,Pieris_rapae,pollinator,Hormathophylla spinosa,20150710
277,Lepidoptera,Rhopalocera,Lycaenidae,icarus,Polyommatus,pollinator,Arenaria tetraquetra subsp amabilis,20150708
278,Lepidoptera,Rhopalocera,Nymphalidae,lathonia,Issoria_lathonia,pollinator,Leucanthemopsis pectinata,20150727
279,Lepidoptera,Rhopalocera,Lycaenidae,belargus,Polyommatus,pollinator,Sideritis glacialis,20150709
282,Hymenoptera,Aculeata,Megachilidae,mitis granadae,Hoplitis_mitis,pollinator,Jasione amethystina,20150710
283,Diptera,Nematocera,Sciaridae,sp,Sciaridae,scavenger,Arenaria tetraquetra subsp amabilis,20150709
284,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150706
285,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150706
286,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150706
287,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150706
288,Hymenoptera,Aculeata,Megachilidae,parietina,Megachile,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150706
289,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150706
290,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150706
291,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Jasione amethystina,20150706
292,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150706
293,Diptera,Brachycera,Bombyliidae,spB,Bombyliidae,pollinator,Jasione amethystina,20150706
294,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150706
295,Diptera,Brachycera,Syrphidae,tenax,Eristalis_tenax,pollinator,Hormathophylla spinosa,20150706
296,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150706
297,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150706
298,Hymenoptera,Aculeata,Megachilidae,parietina,Megachile,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150706
299,Diptera,Brachycera,Syrphidae,tenax,Eristalis_tenax,pollinator,Arenaria tetraquetra subsp amabilis,20150706
300,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150706
301,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150707
302,Hymenoptera,Aculeata,Apidae,vestalis,Bombus_vestalis,pollinator,Hormathophylla spinosa,20150707
303,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150707
304,Hymenoptera,Aculeata,Megachilidae,parietina,Megachile,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150707
305,Hymenoptera,Aculeata,Halictidae,cupromicans,Lasioglossum,pollinator,Jasione amethystina,20150707
306,Diptera,Brachycera,Syrphidae,tenax,Eristalis_tenax,pollinator,Hormathophylla spinosa,20150707
307,Diptera,Brachycera,Syrphidae,albomaculata,Scaeva_albomaculata,pollinator,Lotus corniculatus subsp glacialis,20150707
308,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150708
309,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150708
310,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150708
311,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150708
312,Diptera,Brachycera,Syrphidae,tenax,Eristalis_tenax,pollinator,Arenaria tetraquetra subsp amabilis,20150708
313,Diptera,Brachycera,Syrphidae,tenax,Eristalis_tenax,pollinator,Arenaria tetraquetra subsp amabilis,20150708
314,Hymenoptera,Aculeata,Halictidae,cupromicans,Lasioglossum,pollinator,Jasione amethystina,20150708
315,Hymenoptera,Aculeata,Megachilidae,sp,Megachile,pollinator,Arenaria tetraquetra subsp amabilis,20150708
316,Hymenoptera,Aculeata,Megachilidae,sp,Megachile,pollinator,Sideritis glacialis,20150708
317,Lepidoptera,Rhopalocera,Lycaenidae,boeticus,Lampides_boeticus,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150708
318,Coleoptera,Polyphaga,Chrysomelidae,sp,Galeruca,pollinator,Hormathophylla spinosa,20150708
319,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150708
320,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150708
321,Diptera,Brachycera,Syrphidae,tenax,Eristalis_tenax,pollinator,Hormathophylla spinosa,20150708
322,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150708
323,Coleoptera,Polyphaga,Chrysomelidae,sp,Galeruca,pollinator,Hormathophylla spinosa,20150708
324,Hymenoptera,Aculeata,Megachilidae,parietina,Megachile,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150708
325,Diptera,Brachycera,Syrphidae,tenax,Eristalis_tenax,pollinator,Hormathophylla spinosa,20150708
326,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150708
327,Diptera,Brachycera,Syrphidae,tenax,Eristalis_tenax,pollinator,Arenaria tetraquetra subsp amabilis,20150709
328,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150709
329,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150709
330,Hymenoptera,Aculeata,Apidae,vestalis,Bombus_vestalis,pollinator,Jasione amethystina,20150709
331,Hymenoptera,Aculeata,Colletidae,schmidi,Colletes,pollinator,Jasione amethystina,20150709
332,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150709
333,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150709
334,Lepidoptera,Rhopalocera,Lycaenidae,boeticus,Lampides_boeticus,pollinator,Sideritis glacialis,20150717
335,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150709
336,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150709
337,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150709
338,Hymenoptera,Aculeata,Andrenidae,ovatula,Andrena,pollinator,Hormathophylla spinosa,20150709
339,Hymenoptera,Aculeata,Megachilidae,sp,Megachile,pollinator,Lotus corniculatus subsp glacialis,20150709
340,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150709
341,Hymenoptera,Aculeata,Megachilidae,sp,Megachile,pollinator,Jasione amethystina,20150709
342,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150709
343,Hymenoptera,Aculeata,Apidae,vestalis,Bombus_vestalis,pollinator,Arenaria tetraquetra subsp amabilis,20150709
344,Hymenoptera,Aculeata,Halictidae,cupromicans,Lasioglossum,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150709
345,Hymenoptera,Aculeata,Halictidae,cupromicans,Lasioglossum,pollinator,Lotus corniculatus subsp glacialis,20150709
346,Hymenoptera,Aculeata,Megachilidae,parietina,Megachile,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150709
347,Diptera,Brachycera,Syrphidae,albomaculata,Scaeva_albomaculata,pollinator,Hormathophylla spinosa,20150709
348,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150709
349,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150710
350,Diptera,Brachycera,Syrphidae,albomaculata,Scaeva_albomaculata,pollinator,Hormathophylla spinosa,20150710
351,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150710
352,Hymenoptera,Aculeata,Megachilidae,parietina,Megachile,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150710
353,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150710
354,Hymenoptera,Aculeata,Megachilidae,sp,Megachile,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150710
355,Hymenoptera,Aculeata,Megachilidae,mitis granadae,Hoplitis_mitis,pollinator,Jasione amethystina,20150710
356,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150710
357,Hymenoptera,Aculeata,Megachilidae,sp,Megachile,pollinator,Sideritis glacialis,20150710
358,Diptera,Brachycera,Syrphidae,albomaculata,Scaeva_albomaculata,pollinator,Hormathophylla spinosa,20150710
359,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150710
360,Hymenoptera,Aculeata,Megachilidae,parietina,Megachile,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150710
361,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150711
362,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150711
363,Hymenoptera,Aculeata,Apidae,vestalis,Bombus_vestalis,pollinator,Arenaria tetraquetra subsp amabilis,20150711
364,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150710
365,Diptera,Brachycera,Syrphidae,albomaculata,Scaeva_albomaculata,pollinator,Hormathophylla spinosa,20150711
366,Hymenoptera,Aculeata,Megachilidae,mitis granadae,Hoplitis_mitis,pollinator,Jasione amethystina,20150711
367,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150711
368,Hymenoptera,Aculeata,Megachilidae,parietina,Megachile,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150711
369,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150711
370,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150711
371,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150711
372,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150711
373,Diptera,Brachycera,Syrphidae,albomaculata,Scaeva_albomaculata,pollinator,Jasione amethystina,20150711
374,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150714
375,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150714
376,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150714
377,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150714
378,Diptera,Brachycera,Syrphidae,tenax,Eristalis_tenax,pollinator,Arenaria tetraquetra subsp amabilis,20150714
379,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150714
380,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150714
381,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150714
382,Hymenoptera,Aculeata,Megachilidae,parietina,Megachile,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150715
383,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150715
384,Diptera,Brachycera,Syrphidae,tenax,Eristalis_tenax,pollinator,Hormathophylla spinosa,20150715
385,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150715
386,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150715
387,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150715
388,Hymenoptera,Aculeata,Megachilidae,sp,Megachile,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150711
389,Diptera,Brachycera,Syrphidae,tenax,Eristalis_tenax,pollinator,Hormathophylla spinosa,20150715
390,Hymenoptera,Aculeata,Megachilidae,parietina,Megachile,pollinator,Lotus corniculatus subsp glacialis,20150715
391,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150715
392,Diptera,Brachycera,Syrphidae,tenax,Eristalis_tenax,pollinator,Arenaria tetraquetra subsp amabilis,20150715
393,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150716
394,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150716
395,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150716
396,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150716
397,Hymenoptera,Aculeata,Anthophoridae,valga,Xylocopa_valga,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150716
398,Diptera,Brachycera,Syrphidae,albomaculata,Scaeva_albomaculata,pollinator,Hormathophylla spinosa,20150716
399,Hymenoptera,Aculeata,Anthophoridae,valga,Xylocopa_valga,pollinator,Lotus corniculatus subsp glacialis,20150716
400,Diptera,Brachycera,Syrphidae,tenax,Eristalis_tenax,pollinator,Arenaria tetraquetra subsp amabilis,20150716
401,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150716
402,Hymenoptera,Aculeata,Anthophoridae,valga,Xylocopa_valga,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150716
403,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150716
404,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150716
405,Hymenoptera,Aculeata,Megachilidae,sp,Megachile,pollinator,Jasione amethystina,20150716
406,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150717
406,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150717
407,Diptera,Brachycera,Syrphidae,tenax,Eristalis_tenax,pollinator,Hormathophylla spinosa,20150717
408,Hymenoptera,Aculeata,Megachilidae,parietina,Megachile,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150717
409,Hymenoptera,Aculeata,Megachilidae,sp,Megachile,pollinator,Jasione amethystina,20150717
410,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150717
411,Diptera,Brachycera,Syrphidae,tenax,Eristalis_tenax,pollinator,Leucanthemopsis pectinata,20150717
412,Hymenoptera,Aculeata,Anthophoridae,valga,Xylocopa_valga,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150717
413,Hymenoptera,Aculeata,Megachilidae,sp,Megachile,pollinator,Sideritis glacialis,20150717
414,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150717
415,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150717
416,Hymenoptera,Aculeata,Halictidae,cupromicans,Lasioglossum,pollinator,Jasione amethystina,20150717
417,Diptera,Brachycera,Syrphidae,albomaculata,Scaeva_albomaculata,pollinator,Hormathophylla spinosa,20150716
418,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150718
419,Hymenoptera,Aculeata,Anthophoridae,valga,Xylocopa_valga,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150718
420,Diptera,Brachycera,Syrphidae,albomaculata,Scaeva_albomaculata,pollinator,Hormathophylla spinosa,20150718
421,Hymenoptera,Aculeata,Anthophoridae,valga,Xylocopa_valga,pollinator,Sideritis glacialis,20150718
422,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150718
423,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150718
424,Lepidoptera,Glossata,Sphingidae,stellatarum,Macroglossum_stellatarum,pollinator,Chaenorhinum glareosum,20150718
425,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150718
426,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150718
427,Hymenoptera,Aculeata,Apidae,vestalis,Bombus_vestalis,pollinator,Arenaria tetraquetra subsp amabilis,20150719
428,Hymenoptera,Aculeata,Anthophoridae,valga,Xylocopa_valga,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150719
429,Diptera,Brachycera,Syrphidae,tenax,Eristalis_tenax,pollinator,Arenaria tetraquetra subsp amabilis,20150719
430,Diptera,Brachycera,Syrphidae,tenax,Eristalis_tenax,pollinator,Leucanthemopsis pectinata,20150719
431,Diptera,Brachycera,Syrphidae,albomaculata,Scaeva_albomaculata,pollinator,Leucanthemopsis pectinata,20150719
432,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150719
433,Hymenoptera,Aculeata,Anthophoridae,valga,Xylocopa_valga,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150719
434,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150719
435,Diptera,Brachycera,Syrphidae,tenax,Eristalis_tenax,pollinator,Hormathophylla spinosa,20150719
436,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150719
437,Hymenoptera,Aculeata,Anthophoridae,valga,Xylocopa_valga,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150723
438,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150723
439,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150723
440,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150723
441,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150723
442,Diptera,Brachycera,Bombyliidae,spA,Bombyliidae,pollinator,Hormathophylla spinosa,20150723
443,Hymenoptera,Aculeata,Andrenidae,cephalotes,Panurgus_cephalotes,pollinator,Leucanthemopsis pectinata,20150723
444,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150723
445,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150723
446,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150723
447,Diptera,Brachycera,Syrphidae,albomaculata,Scaeva_albomaculata,pollinator,Crepis oporinoides,20150723
448,Diptera,Brachycera,Syrphidae,tenax,Eristalis_tenax,pollinator,Hormathophylla spinosa,20150723
449,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150724
450,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150724
451,Hymenoptera,Aculeata,Megachilidae,parietina,Megachile,pollinator,Sideritis glacialis,20150724
452,Diptera,Brachycera,Syrphidae,tenax,Eristalis_tenax,pollinator,Hormathophylla spinosa,20150724
453,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150724
454,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150724
455,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150724
456,Hymenoptera,Aculeata,Anthophoridae,valga,Xylocopa_valga,pollinator,Lotus corniculatus subsp glacialis,20150724
457,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150724
458,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150724
459,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150724
460,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150724
461,Hymenoptera,Aculeata,Apidae,vestalis,Bombus_vestalis,pollinator,Sideritis glacialis,20150727
462,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150727
463,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150727
464,Hymenoptera,Aculeata,Megachilidae,sp,Megachile,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150727
465,Hymenoptera,Aculeata,Megachilidae,sp,Megachile,pollinator,Lotus corniculatus subsp glacialis,20150727
466,Hymenoptera,Aculeata,Andrenidae,cephalotes,Panurgus_cephalotes,pollinator,Leucanthemopsis pectinata,20150727
467,Hymenoptera,Aculeata,Megachilidae,sp,Megachile,pollinator,Lotus corniculatus subsp glacialis,20150727
468,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150727
469,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150727
470,Diptera,Brachycera,Syrphidae,tenax,Eristalis_tenax,pollinator,Arenaria tetraquetra subsp amabilis,20150727
471,Hymenoptera,Aculeata,Megachilidae,parietina,Megachile,pollinator,Lotus corniculatus subsp glacialis,20150727
472,Hymenoptera,Aculeata,Colletidae,schmidi,Colletes,pollinator,Hormathophylla spinosa,20150727
