id,Order,Suborder,Family,Subfamily,Genus,Species,Phylogenetic.taxon,Guild,Plant.species,Date,Fs,Tr,Plot,Repl,site.label,group,in.code,fl.fam,pl.code
135,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150716,h,a,6,5,h a 6,bee,apimel,Caryophyllaceae,aretet
136,Coleoptera,Polyphaga,Malachiidae,Malachiinae,spA,spA,Malachiinae,predator,Leucanthemopsis pectinata,20150714,s,w,13,4,s w 13,,malspa,Asteraceae,leupec
137,Hemiptera,Heteroptera,Lygaeidae,Lygaeinae,Spilostethus,pandurus,Spilostethus_pandurus,herbivore,Arenaria tetraquetra subsp amabilis,20150706,h,w,12,1,h w 12,,spipan,Caryophyllaceae,aretet
138,Coleoptera,Polyphaga,Melyridae,Rhadalinae,Aplocnemus,sp,Aplocnemus,herbivore,Arenaria tetraquetra subsp amabilis,20150706,h,w,12,1,h w 12,,aplosp,Caryophyllaceae,aretet
139,Hymenoptera,Aculeata,Mutilidae,sp,sp,sp,Mutillidae,pollinator,Arenaria tetraquetra subsp amabilis,20150706,h,w,12,1,h w 12,bee,mutisp,Caryophyllaceae,aretet
140,Hymenoptera,Parasitica,Eurytomidae,Eurytominae,Bruchophagus,sp,Bruchophagus,herbivore,Anthyllis vulneraria subsp pseudoarundana,20150717,h,w,1,5,h w 1,,bruchsp,Fabaceae,antvul
141,Coleoptera,Polyphaga,Coccinellidae,Coccinellinae,Hippodamia,sp,Hippodamia,predator,Anthyllis vulneraria subsp pseudoarundana,20150709,h,w,10,2,h w 10,,hippsp,Fabaceae,antvul
142,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Anthidium,montanum,Anthidium_montanum,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150709,h,w,10,2,h w 10,bee,antmon,Fabaceae,antvul
143,Hymenoptera,Parasitica,Braconidae,Cheloninae,Chelonus,spA,Chelonus,parasitoid,Arenaria tetraquetra subsp amabilis,20150715,h,a,11,4,h a 11,,chespa,Caryophyllaceae,aretet
144,Coleoptera,Polyphaga,Meloidae,Meloinae,Mylabris,sp,Mylabris,parasitoid,Leontodon boryi,20150727,h,w,14,9,h w 14,,mylasp,Asteraceae,leobor
145,Hymenoptera,Parasitica,Ichneumonidae,Cryptinae,Gelis,fossae,Gelis,parasitoid,Leontodon boryi,20150710,s,o,10,3,s o 10,,gelfos,Asteraceae,leobor
146,Hymenoptera,Aculeata,Andrenidae,Andreninae,Andrena,agilissima,Andrena,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150727,h,w,14,9,h w 14,bee,andagi,Fabaceae,antvul
147,Hymenoptera,Aculeata,Halictidae,Rophitinae,Dufourea,paradoxa nivalis,Dufourea_paradoxa,pollinator,Arenaria tetraquetra subsp amabilis,20150727,h,a,14,9,h a 14,bee,dufpar,Caryophyllaceae,aretet
148,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150707,s,w,4,1,s w 4,bee,apimel,Brassicaceae,horspi
149,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150707,s,w,4,1,s w 4,bee,apimel,Brassicaceae,horspi
150,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150716,s,w,3,5,s w 3,bee,apimel,Brassicaceae,horspi
151,Hymenoptera,Aculeata,Halictidae,Halictinae,Lasioglossum,cupromicans,Lasioglossum,pollinator,Jasione amethystina,20150707,h,o,5,1,h o 5,bee,lascup,Campanulaceae,jasame
152,Hymenoptera,Parasitica,Ichneumonidae,Cryptinae,Gelis,forticornis,Gelis,parasitoid,Jasione amethystina,20150707,h,w,2,1,h w 2,,gelfor,Campanulaceae,jasame
153,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150706,s,a,9,1,s a 9,bee,apimel,Brassicaceae,horspi
154,Hymenoptera,Aculeata,Chrysididae,sp,sp,sp,Chrysididae,parasitoid,Anthyllis vulneraria subsp pseudoarundana,20150709,h,o,3,2,h o 3,,chrysp,Fabaceae,antvul
155,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,Scythris,pollinator,Leontodon boryi,20150707,h,o,5,1,h o 5,butterfly,scyibe,Asteraceae,leobor
156,Hymenoptera,Aculeata,Andrenidae,Andreninae,Andrena,micrandrena sp,Andrena,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150727,h,w,1,9,h w 1,bee,andmic,Fabaceae,antvul
157,Hymenoptera,Aculeata,Halictidae,Halictinae,Lasioglossum,cupromicans,Lasioglossum,pollinator,Hormathophylla spinosa,20150715,s,a,14,4,s a 14,bee,lascup,Brassicaceae,horspi
158,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,Scythris,pollinator,Hormathophylla spinosa,20150715,s,a,14,4,s a 14,butterfly,scyibe,Brassicaceae,horspi
159,Diptera,Brachycera,Syrphidae,Syrphinae,Scaeva,albomaculata,Scaeva_albomaculata,pollinator,Hormathophylla spinosa,20150706,s,w,9,1,s w 9,hoverfly,scaalb,Brassicaceae,horspi
160,Hemiptera,Heteroptera,Lygaeidae,Lygaeinae,Spilostethus,pandurus,Spilostethus_pandurus,herbivore,Hormathophylla spinosa,20150706,s,w,9,1,s w 9,,spipan,Brassicaceae,horspi
161,Coleoptera,Polyphaga,Chrysomelidae,Galerucinae,Galeruca,sp,Galeruca,herbivore,Hormathophylla spinosa,20150707,s,w,7,1,s w 7,,galesp,Brassicaceae,horspi
162,Coleoptera,Polyphaga,Cantharidae,Malthininae,Malthinus,sp,Malthinus,predator,Hormathophylla spinosa,20150707,s,w,7,1,s w 7,,maltsp,Brassicaceae,horspi
163,Hymenoptera,Aculeata,Halictidae,Halictinae,Lasioglossum,cupromicans,Lasioglossum,pollinator,Arenaria tetraquetra subsp amabilis,20150714,s,w,2,4,s w 2,bee,lascup,Caryophyllaceae,aretet
164,Diptera,Brachycera,Muscidae,Muscinae,Dasyphora,pratorum,Eudasyphora,pollinator,Hormathophylla spinosa,20150716,s,a,11,5,s a 11,fly,daspra,Brassicaceae,horspi
165,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,Scythris,pollinator,Arenaria tetraquetra subsp amabilis,20150727,h,w,1,9,h w 1,butterfly,scyibe,Caryophyllaceae,aretet
166,Diptera,Nematocera,Sciaridae,sp,sp,sp,Sciaridae,scavenger,Biscutella glacialis,20150706,s,w,2,1,s w 2,,sciasp,Brassicaceae,bisgla
167,Hymenoptera,Aculeata,Pompilidae,spA,spA,spA,Pompilidae,predator,Hormathophylla spinosa,20150727,s,w,8,9,s w 8,,pomspa,Brassicaceae,horspi
168,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,Scythris,pollinator,Arenaria tetraquetra subsp amabilis,20150724,h,a,14,8,h a 14,butterfly,scyibe,Caryophyllaceae,aretet
169,Diptera,Brachycera,Bombyliidae,spA,spA,spA,Bombyliidae,pollinator,Leucanthemopsis pectinata,20150727,s,w,5,9,s w 5,fly,bomspa,Asteraceae,leupec
170,Hymenoptera,Aculeata,Halictidae,Halictinae,Lasioglossum,cupromicans,Lasioglossum,pollinator,Arenaria tetraquetra subsp amabilis,20150709,h,a,5,2,h a 5,bee,lascup,Caryophyllaceae,aretet
171,Coleoptera,Polyphaga,Chrysomelidae,Chrysomelinae,Timarcha,sp,Timarcha,herbivore,Hormathophylla spinosa,20150716,s,w,12,5,s w 12,,timasp,Brassicaceae,horspi
172,Hymenoptera,Aculeata,Colletidae,Colletinae,Colletes,schmidi,Colletes,pollinator,Lotus corniculatus subsp glacialis,20150727,h,w,13,9,h w 13,bee,colsch,Fabaceae,lotcor
173,Hemiptera,Auchenorrhyncha,Cicadoidea,sp,sp,sp,Cicadoidea,herbivore,Arenaria tetraquetra subsp amabilis,20150706,h,w,11,1,h w 11,,cicasp,Caryophyllaceae,aretet
174,Diptera,Brachycera,Muscidae,Muscinae,Musca,vitripennis,Musca_vitripennis,pollinator,Arenaria tetraquetra subsp amabilis,20150727,h,a,1,9,h a 1,fly,musvit,Caryophyllaceae,aretet
175,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,Scythris,pollinator,Arenaria tetraquetra subsp amabilis,20150709,h,w,6,2,h w 6,butterfly,scyibe,Caryophyllaceae,aretet
176,Coleoptera,Polyphaga,Buprestidae,Agrilinae,Agrilus,spA,Agrilus,herbivore,Anthyllis vulneraria subsp pseudoarundana,20150715,h,w,10,4,h w 10,,agrspa,Fabaceae,antvul
177,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150707,h,w,2,1,h w 2,bee,apimel,Caryophyllaceae,aretet
178,Hymenoptera,Aculeata,Halictidae,Halictinae,Lasioglossum,sp,Lasioglossum,pollinator,Arenaria tetraquetra subsp amabilis,20150707,h,w,2,1,h w 2,bee,lasisp,Caryophyllaceae,aretet
179,Diptera,Brachycera,Syrphidae,Syrphinae,Scaeva,albomaculata,Scaeva_albomaculata,pollinator,Hormathophylla spinosa,20150711,s,w,8,3,s w 8,hoverfly,scaalb,Brassicaceae,horspi
180,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150707,h,a,9,1,h a 9,bee,apimel,Caryophyllaceae,aretet
181,Hemiptera,Heteroptera,Lygaeidae,Lygaeinae,Spilostethus,pandurus,Spilostethus_pandurus,herbivore,Arenaria tetraquetra subsp amabilis,20150709,h,a,3,2,h a 3,,spipan,Caryophyllaceae,aretet
182,Diptera,Brachycera,Tachinidae,Exoristinae,Meigenia,majuscula,Meigenia_majuscula,parasitoid,Hormathophylla spinosa,20150711,s,a,7,3,s a 7,,meimaj,Brassicaceae,horspi
183,Hymenoptera,Aculeata,Chrysididae,sp,sp,sp,Chrysididae,parasitoid,Hormathophylla spinosa,20150710,s,a,9,3,s a 9,,chrysp,Brassicaceae,horspi
184,Diptera,Nematocera,Sciaridae,sp,sp,sp,Sciaridae,scavenger,Arenaria tetraquetra subsp amabilis,20150719,h,w,14,6,h w 14,,sciasp,Caryophyllaceae,aretet
185,Diptera,Brachycera,Syrphidae,Eristalinae,Eristalis,tenax,Eristalis_tenax,pollinator,Hormathophylla spinosa,20150709,s,a,5,2,s a 5,hoverfly,eriten,Brassicaceae,horspi
186,Hymenoptera,Aculeata,Pompilidae,spB,spB,spB,Pompilidae,predator,Arenaria tetraquetra subsp amabilis,20150710,h,a,3,3,h a 3,,pomspb,Caryophyllaceae,aretet
187,Diptera,Nematocera,Sciaridae,sp,sp,sp,Sciaridae,scavenger,Hormathophylla spinosa,20150715,s,a,12,4,s a 12,,sciasp,Brassicaceae,horspi
188,Diptera,Brachycera,Sarcophagidae,Sarcophaginae,Sarcophaga,nigriventris,Sarcophaga_nigriventris,scavenger,Arenaria tetraquetra subsp amabilis,20150709,h,a,11,2,h a 11,,sarnig,Caryophyllaceae,aretet
189,Hymenoptera,Aculeata,Andrenidae,Panurginae,Panurgus,cephalotes,Panurgus_cephalotes,pollinator,Crepis oporinoides,20150717,s,w,14,5,s w 14,bee,pancep,Asteraceae,creopo
190,Hymenoptera,Aculeata,Anthophoridae,Xylocopinae,Xylocopa,valga,Xylocopa_valga,pollinator,Arenaria tetraquetra subsp amabilis,20150711,h,w,6,3,h w 6,bee,xylval,Caryophyllaceae,aretet
191,Hymenoptera,Aculeata,Colletidae,Hylaeinae,Hylaeus,ibericus,Hylaeus,pollinator,Arenaria tetraquetra subsp amabilis,20150711,h,w,6,3,h w 6,bee,hylibe,Caryophyllaceae,aretet
192,Hemiptera,Heteroptera,Lygaeidae,Lygaeinae,Spilostethus,pandurus,Spilostethus_pandurus,herbivore,Arenaria tetraquetra subsp amabilis,20150711,h,w,6,3,h w 6,,spipan,Caryophyllaceae,aretet
193,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150716,h,a,9,5,h a 9,bee,apimel,Caryophyllaceae,aretet
194,Coleoptera,Polyphaga,Coccinellidae,Scymninae,Scymnus,sp,Scymnus,predator,Jasione amethystina,20150706,h,o,4,1,h o 4,,scymsp,Campanulaceae,jasame
195,Araneae,Opisthothelae,Salticidae,sp,sp,sp,Salticidae,predator,Arenaria tetraquetra subsp amabilis,20150706,h,a,11,1,h a 11,,saltsp,Caryophyllaceae,aretet
196,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150711,h,w,1,3,h w 1,bee,apimel,Caryophyllaceae,aretet
197,Diptera,Brachycera,Sepsidae,Sepsinae,Sepsis,thoracica,Sepsis,scavenger,Arenaria tetraquetra subsp amabilis,20150715,h,w,7,4,h w 7,,septho,Caryophyllaceae,aretet
198,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Hoplitis,ravouxi,Hoplitis_ravouxi,pollinator,Jasione amethystina,20150707,h,w,5,1,h w 5,bee,hoprav,Campanulaceae,jasame
199,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,Scythris,pollinator,Jasione amethystina,20150707,h,w,5,1,h w 5,butterfly,scyibe,Campanulaceae,jasame
200,Hymenoptera,Aculeata,Vespidae,Eumeninae,Ancistrocerus,scoticus,Ancistrocerus,predator,Hormathophylla spinosa,20150709,s,w,5,2,s w 5,,ancsco,Brassicaceae,horspi
201,Coleoptera,Polyphaga,Chrysomelidae,Chrysomelinae,Timarcha,sp,Timarcha,herbivore,Hormathophylla spinosa,20150709,s,w,5,2,s w 5,,timasp,Brassicaceae,horspi
202,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Hoplitis,mitis granadae,Hoplitis_ravouxi,pollinator,Jasione amethystina,20150706,h,o,11,1,h o 11,bee,hopmit,Campanulaceae,jasame
203,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150723,h,o,5,7,h o 5,bee,apimel,Lamiaceae,sidgla
204,Hymenoptera,Parasitica,Braconidae,Cheloninae,Ascogaster,grahami,Ascogaster,parasitoid,Hormathophylla spinosa,20150724,s,a,14,8,s a 14,,ascgra,Brassicaceae,horspi
205,Diptera,Brachycera,Bombyliidae,spB,spB,spB,Bombyliidae,pollinator,Arenaria tetraquetra subsp amabilis,20150710,h,w,12,3,h w 12,fly,bomspb,Caryophyllaceae,aretet
206,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,Scythris,pollinator,Arenaria tetraquetra subsp amabilis,20150724,h,a,5,8,h a 5,butterfly,scyibe,Caryophyllaceae,aretet
207,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,Scythris,pollinator,Arenaria tetraquetra subsp amabilis,20150724,h,a,5,8,h a 5,butterfly,scyibe,Caryophyllaceae,aretet
208,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,Scythris,pollinator,Arenaria tetraquetra subsp amabilis,20150724,h,a,5,8,h a 5,butterfly,scyibe,Caryophyllaceae,aretet
209,Hymenoptera,Aculeata,Halictidae,Halictinae,Lasioglossum,cupromicans,Lasioglossum,pollinator,Lotus corniculatus subsp glacialis,20150709,s,o,8,2,s o 8,bee,lascup,Fabaceae,lotcor
210,Diptera,Brachycera,Syrphidae,Syrphinae,Scaeva,albomaculata,Scaeva_albomaculata,pollinator,Hormathophylla spinosa,20150710,s,w,9,3,s w 9,hoverfly,scaalb,Brassicaceae,horspi
211,Hymenoptera,Parasitica,Braconidae,Cheloninae,Chelonus,spA,Chelonus,parasitoid,Arenaria tetraquetra subsp amabilis,20150707,h,w,9,1,h w 9,,chespa,Caryophyllaceae,aretet
212,Diptera,Brachycera,Bombyliidae,spA,spA,spA,Bombyliidae,pollinator,Arenaria tetraquetra subsp amabilis,20150723,h,w,7,7,h w 7,fly,bomspa,Caryophyllaceae,aretet
213,Coleoptera,Polyphaga,Malachiidae,Malachiinae,spA,spA,Malachiinae,predator,Leontodon boryi,20150718,h,o,13,6,h o 13,,malspa,Asteraceae,leobor
214,Diptera,Brachycera,Muscidae,Azeliinae,Thricops,culminum,Thricops,pollinator,Arenaria tetraquetra subsp amabilis,20150717,h,w,4,5,h w 4,fly,thrcul,Caryophyllaceae,aretet
215,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,Scythris,pollinator,Arenaria tetraquetra subsp amabilis,20150706,h,w,3,1,h w 3,butterfly,scyibe,Caryophyllaceae,aretet
216,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,Scythris,pollinator,Hormathophylla spinosa,20150706,s,w,12,1,s w 12,butterfly,scyibe,Brassicaceae,horspi
217,Diptera,Brachycera,Therevidae,sp,sp,sp,Therevidae,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150706,h,o,14,1,h o 14,fly,thersp,Fabaceae,antvul
218,Hemiptera,Heteroptera,Lygaeidae,Lygaeinae,Spilostethus,pandurus,Spilostethus_pandurus,herbivore,Anthyllis vulneraria subsp pseudoarundana,20150706,h,o,14,1,h o 14,,spipan,Fabaceae,antvul
219,Diptera,Brachycera,Syrphidae,Eristalinae,Eristalis,tenax,Eristalis_tenax,pollinator,Hormathophylla spinosa,20150716,s,a,12,5,s a 12,fly,eriten,Brassicaceae,horspi
220,Diptera,Brachycera,Sepsidae,Sepsinae,Sepsis,sp,Sepsis,scavenger,Hormathophylla spinosa,20150716,s,a,12,5,s a 12,,sepssp,Brassicaceae,horspi
221,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,Scythris,pollinator,Hormathophylla spinosa,20150706,s,a,10,1,s a 10,butterfly,scyibe,Brassicaceae,horspi
222,Coleoptera,Polyphaga,Chrysomelidae,Galerucinae,Galeruca,sp,Galeruca,herbivore,Hormathophylla spinosa,20150706,s,a,10,1,s a 10,,galesp,Brassicaceae,horspi
223,Hymenoptera,Parasitica,Ichneumonidae,Cryptinae,Gelis,fossae,Gelis,parasitoid,Hormathophylla spinosa,20150708,s,w,3,2,s w 3,,gelfos,Brassicaceae,horspi
224,Hemiptera,Heteroptera,Lygaeidae,Lygaeinae,Spilostethus,pandurus,Spilostethus_pandurus,herbivore,Arenaria tetraquetra subsp amabilis,20150707,h,w,10,1,h w 10,,spipan,Caryophyllaceae,aretet
225,Diptera,Brachycera,Syrphidae,Syrphinae,Scaeva,albomaculata,Scaeva_albomaculata,pollinator,Hormathophylla spinosa,20150707,s,a,13,1,s a 13,fly,scaalb,Brassicaceae,horspi
226,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150707,s,a,13,1,s a 13,bee,apimel,Brassicaceae,horspi
227,Hymenoptera,Parasitica,Ichneumonidae,Cryptinae,Gelis,fossae,Gelis,parasitoid,Arenaria tetraquetra subsp amabilis,20150714,s,w,3,4,s w 3,,gelfos,Caryophyllaceae,aretet
228,Diptera,Brachycera,Tachinidae,Tachininae,Macquartia,tessellum,Macquartia_tessellum,parasitoid,Hormathophylla spinosa,20150719,s,w,7,6,s w 7,,mactes,Brassicaceae,horspi
229,Hymenoptera,Aculeata,Andrenidae,Andreninae,Andrena,ovatula,Andrena,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150709,h,w,12,2,h w 12,bee,andova,Fabaceae,antvul
230,Diptera,Brachycera,Syrphidae,Syrphinae,Scaeva,albomaculata,Scaeva_albomaculata,pollinator,Hormathophylla spinosa,20150724,s,a,6,8,s a 6,hoverfly,scaalb,Brassicaceae,horspi
231,Hymenoptera,Parasitica,Braconidae,Cheloninae,Chelonus,spA,Chelonus,parasitoid,Arenaria tetraquetra subsp amabilis,20150719,h,w,3,6,h w 3,,chespa,Caryophyllaceae,aretet
232,Diptera,Brachycera,Sepsidae,Sepsinae,Sepsis,thoracica,Sepsis,scavenger,Hormathophylla spinosa,20150723,s,w,14,7,s w 14,,septho,Brassicaceae,horspi
233,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,Scythris,pollinator,Jasione amethystina,20150709,s,o,8,2,s o 8,butterfly,scyibe,Campanulaceae,jasame
234,Diptera,Brachycera,Bombyliidae,spB,spB,spB,Bombyliidae,pollinator,Jasione amethystina,20150708,h,w,7,2,h w 7,fly,bomspb,Campanulaceae,jasame
235,Coleoptera,Polyphaga,Malachiidae,Malachiinae,spA,spA,Malachiinae,predator,Crepis oporinoides,20150718,s,w,8,6,s w 8,,malspa,Asteraceae,creopo
236,Diptera,Brachycera,Syrphidae,Eristalinae,Eristalis,tenax,Eristalis_tenax,pollinator,Arenaria tetraquetra subsp amabilis,20150723,h,w,1,7,h w 1,hoverfly,eriten,Caryophyllaceae,aretet
237,Coleoptera,Polyphaga,Curculionidae,Curculioninae,Anisorrynchus,sp,Curculioninae,herbivore,Arenaria tetraquetra subsp amabilis,20150706,h,a,13,1,h a 13,,anissp,Caryophyllaceae,aretet
238,Diptera,Brachycera,Syrphidae,Eristalinae,Eristalis,tenax,Eristalis_tenax,pollinator,Arenaria tetraquetra subsp amabilis,20150716,h,a,3,5,h a 3,hoverfly,eriten,Caryophyllaceae,aretet
239,Diptera,Nematocera,Sciaridae,sp,sp,sp,Sciaridae,scavenger,Arenaria tetraquetra subsp amabilis,20150716,h,a,12,5,h a 12,,sciasp,Caryophyllaceae,aretet
240,Diptera,Nematocera,Sciaridae,sp,sp,sp,Sciaridae,scavenger,Crepis oporinoides,20150715,s,w,8,4,s w 8,,sciasp,Asteraceae,creopo
241,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Megachile,parietina,Megachile,pollinator,Lotus corniculatus subsp glacialis,20150724,s,o,14,8,s o 14,bee,megpar,Fabaceae,lotcor
242,Hymenoptera,Aculeata,Pompilidae,spC,spC,spC,Pompilidae,predator,Hormathophylla spinosa,20150706,s,a,3,1,s a 3,,pomspc,Brassicaceae,horspi
243,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Melanosmia,sp,Osmia,pollinator,Chaenorhinum glareosum,20150714,h,o,14,4,h o 14,bee,melasp,Scrophulariaceae,chagla
244,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,Scythris,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150715,h,w,11,4,h w 11,butterfly,scyibe,Fabaceae,antvul
245,Hymenoptera,Aculeata,Andrenidae,Andreninae,Andrena,ovatula,Andrena,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150714,s,o,11,4,s o 11,bee,andova,Fabaceae,antvul
246,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150707,s,w,13,1,s w 13,bee,apimel,Brassicaceae,horspi
247,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Megachile,sp,Megachile,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150707,h,w,1,1,h w 1,bee,megasp,Fabaceae,antvul
248,Hemiptera,Heteroptera,Lygaeidae,Lygaeinae,Spilostethus,pandurus,Spilostethus_pandurus,herbivore,Jasione amethystina,20150708,h,w,2,2,h w 2,,spipan,Campanulaceae,jasame
249,Diptera,Brachycera,Syrphidae,Syrphinae,Scaeva,albomaculata,Scaeva_albomaculata,pollinator,Hormathophylla spinosa,20150714,s,a,2,4,s a 2,hoverfly,scaalb,Brassicaceae,horspi
250,Hymenoptera,Aculeata,Vespidae,Vespinae,Polistes,biglumis,Polistes_biglumis,predator,Arenaria tetraquetra subsp amabilis,20150707,h,w,5,1,h w 5,,polbig,Caryophyllaceae,aretet
251,Hymenoptera,Aculeata,Halictidae,Halictinae,Lasioglossum,cupromicans,Lasioglossum,pollinator,Arenaria tetraquetra subsp amabilis,20150707,h,w,5,1,h w 5,bee,lascup,Caryophyllaceae,aretet
252,Hymenoptera,Aculeata,Apidae,Apinae,Bombus,terrestris lusitanicus,Bombus_terrestris,pollinator,Arenaria tetraquetra subsp amabilis,20150711,h,w,5,3,h w 5,bumblebee,bomlun,Caryophyllaceae,aretet
253,Diptera,Brachycera,Tachinidae,Exoristinae,Gonia,capitata,Gonia_capitata,parasitoid,Arenaria tetraquetra subsp amabilis,20150711,h,w,5,3,h w 5,,goncap,Caryophyllaceae,aretet
254,Coleoptera,Polyphaga,Malachiidae,Malachiinae,spA,spA,Malachiinae,predator,Hormathophylla spinosa,20150723,s,a,5,7,s a 5,,malspa,Brassicaceae,horspi
255,Hymenoptera,Aculeata,Vespidae,Eumeninae,Ancistrocerus,scoticus,Ancistrocerus,predator,Arenaria tetraquetra subsp amabilis,20150710,h,w,2,3,h w 2,,ancsco,Caryophyllaceae,aretet
256,Coleoptera,Polyphaga,Chrysomelidae,Cryptocephalinae,Labidostomis,sp,Labidostomis,herbivore,Arenaria tetraquetra subsp amabilis,20150710,h,w,2,3,h w 2,,labisp,Caryophyllaceae,aretet
257,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Hoplitis,mitis granadae,Hoplitis_mitis,pollinator,Jasione amethystina,20150711,s,o,11,3,s o 11,bee,hopmit,Campanulaceae,jasame
258,Hymenoptera,Aculeata,Halictidae,Halictinae,Lasioglossum,cupromicans,Lasioglossum,pollinator,Jasione amethystina,20150711,s,o,11,3,s o 11,bee,lascup,Campanulaceae,jasame
259,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150707,h,a,6,1,h a 6,bee,apimel,Caryophyllaceae,aretet
260,Diptera,Brachycera,Therevidae,sp,sp,sp,Therevidae,pollinator,Hormathophylla spinosa,20150710,s,w,1,3,s w 1,fly,thersp,Brassicaceae,horspi
261,Diptera,Brachycera,Syrphidae,Eristalinae,Eristalis,tenax,Eristalis_tenax,pollinator,Arenaria tetraquetra subsp amabilis,20150724,h,w,5,8,h w 5,fly,eriten,Caryophyllaceae,aretet
262,Hymenoptera,Parasitica,Ichneumonidae,Cryptinae,Gelis,forticornis,Gelis,parasitoid,Arenaria tetraquetra subsp amabilis,20150719,h,w,2,6,h w 2,,gelfor,Caryophyllaceae,aretet
263,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Megachile,parietina,Megachile,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150706,h,w,14,1,h w 14,bee,megpar,Fabaceae,antvul
264,Hymenoptera,Parasitica,Ichneumonidae,Cryptinae,Gelis,fossae,Gelis,parasitoid,Chaenorhinum glareosum,20150707,s,w,4,1,s w 4,,gelfos,Scrophulariaceae,chagla
265,Hymenoptera,Parasitica,Eurytomidae,Eurytominae,Bruchophagus,sp,Bruchophagus,herbivore,Anthyllis vulneraria subsp pseudoarundana,20150719,s,o,1,6,s o 1,,bruchsp,Fabaceae,antvul
266,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,Scythris,pollinator,Arenaria tetraquetra subsp amabilis,20150709,h,w,8,2,h w 8,butterfly,scyibe,Caryophyllaceae,aretet
267,Hymenoptera,Parasitica,Ichneumonidae,Cryptinae,Gelis,fossae,Gelis,parasitoid,Hormathophylla spinosa,20150711,s,a,3,3,s a 3,,gelfos,Brassicaceae,horspi
268,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Megachile,parietina,Megachile,pollinator,Lotus corniculatus subsp glacialis,20150715,s,w,14,4,s w 14,bee,megpar,Fabaceae,lotcor
269,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150714,h,w,9,4,h w 9,bee,apimel,Lamiaceae,sidgla
